date,close,change,rsi,up,down
2015-07-02,2.53,0.11,46.1624938844456,0.0,0.0
2015-07-06,2.47,-0.06,58.975182534266914,0.0,0.0
2015-07-07,2.09,-0.38,51.35617319734936,0.0,0.0
2015-07-08,2.01,-0.08,26.539420855449407,0.0,0.0
2015-07-09,1.98,-0.03,23.77518820345466,0.0,0.0
2015-07-10,1.96,-0.02,22.75925667216262,0.0,0.0
2015-07-13,1.96,0.0,22.041651923508766,0.0,0.0
2015-07-14,2.05,0.09,22.041651923508766,0.0,0.0
2015-07-15,1.96,-0.09,34.23015701349607,0.0,0.0
2015-07-16,1.87,-0.09,29.041055580394072,0.0,0.0
2015-07-17,1.79,-0.08,24.752641042300596,0.0,0.0
2015-07-20,1.8,0.01,21.52382541259803,0.0,0.0
2015-07-21,1.8,0.0,22.959456976744846,0.0,0.0
2015-07-22,1.79,-0.01,22.959456976744846,0.0,0.0
2015-07-23,1.76,-0.03,22.42366565281347,0.0,0.0
2015-07-24,1.67,-0.09,20.762450526593938,0.0,0.0
2015-07-27,1.62,-0.05,16.55698772279706,0.0,0.0
2015-07-28,1.77,0.15,14.67032463867264,0.0,0.0
2015-07-29,1.96,0.19,38.64196166872691,0.0,0.0
2015-07-30,1.93,-0.03,56.380928026829785,0.0,0.0
2015-07-31,1.93,0.0,53.58540568525988,0.0,0.0
2015-08-03,2.2,0.27,53.58540568525988,0.0,0.0
2015-08-04,2.13,-0.07,70.67657671823578,0.0,0.0
2015-08-05,2.16,0.03,63.72398955904395,0.0,0.0
2015-08-06,2.11,-0.05,65.39150114433366,0.0,0.0
2015-08-07,2.09,-0.02,60.126973813407716,0.0,0.0
2015-08-10,1.93,-0.16,57.992637390448365,0.0,0.0
2015-08-11,1.9,-0.03,43.78304980230133,0.0,0.0
2015-08-12,1.9,0.0,41.59889399142253,0.0,0.0
2015-08-13,1.79,-0.11,41.59889399142253,0.0,0.0
2015-08-14,1.84,0.05,33.577031265814995,0.0,0.0
2015-08-17,1.8,-0.04,39.62513056058444,0.0,0.0
2015-08-18,1.8,0.0,36.57986829043067,0.0,0.0
2015-08-19,1.8,0.0,36.57986829043066,0.0,0.0
2015-08-20,1.7,-0.1,36.57986829043067,0.0,0.0
2015-08-21,1.78,0.08,28.427139345112053,0.0,0.0
2015-08-24,1.75,-0.03,40.54280353563901,0.0,0.0
2015-08-25,1.66,-0.09,37.80047593612115,0.0,0.0
2015-08-26,1.72,0.06,30.684455582458867,0.0,0.0
2015-08-27,1.78,0.06,39.379295328907745,0.0,0.0
2015-08-28,1.85,0.07,46.9801340222957,0.0,0.0
2015-08-31,1.81,-0.04,54.57431222084752,0.0,0.0
2015-09-01,1.71,-0.1,49.90610886941859,0.0,0.0
2015-09-02,1.77,0.06,40.10469607884742,0.0,0.0
2015-09-03,1.79,0.02,47.21356490875256,0.0,0.0
2015-09-04,1.82,0.03,49.497034842042495,0.0,0.0
2015-09-08,1.88,0.06,52.9836579769648,0.0,0.0
2015-09-09,1.85,-0.03,59.3916940163635,0.0,0.0
2015-09-10,1.84,-0.01,55.1003583771051,0.0,0.0
2015-09-11,2.01,0.17,53.624314669186184,0.0,0.0
2015-09-14,1.82,-0.19,69.4988705528393,0.0,0.0
2015-09-15,1.86,0.04,48.35619347867007,0.0,0.0
2015-09-16,1.89,0.03,51.878443900019356,0.0,0.0
2015-09-17,1.89,0.0,54.53623355523175,0.0,0.0
2015-09-18,1.87,-0.02,54.53623355523175,0.0,0.0
2015-09-21,1.81,-0.06,52.033818870992725,0.0,0.0
2015-09-22,1.73,-0.08,44.960567041827254,0.0,0.0
2015-09-23,1.7,-0.03,37.24552637463177,0.0,0.0
2015-09-24,1.72,0.02,34.69408774302558,0.0,0.0
2015-09-25,1.71,-0.01,37.933519375332324,0.0,0.0
2015-09-28,1.66,-0.05,36.88792673865939,0.0,0.0
2015-09-29,1.67,0.01,31.868411804689018,0.0,0.0
2015-09-30,1.72,0.05,33.923573488698906,0.0,0.0
2015-10-01,1.74,0.02,43.63854686447941,0.0,0.0
2015-10-02,1.83,0.09,47.188139178505935,0.0,0.0
2015-10-05,1.8,-0.03,60.10864559797235,0.0,0.0
2015-10-06,1.83,0.03,54.98409441660216,0.0,0.0
2015-10-07,1.86,0.03,58.98076535460237,0.0,0.0
2015-10-08,1.93,0.07,62.75944830765968,0.0,0.0
2015-10-09,1.96,0.03,70.10358494122974,0.0,0.0
2015-10-12,1.87,-0.09,72.7369675556894,0.0,0.0
2015-10-13,1.92,0.05,55.865533405184316,0.0,0.0
2015-10-14,1.95,0.03,61.53090296135317,0.0,0.0
2015-10-15,1.97,0.02,64.64310431273077,0.0,0.0
2015-10-16,1.94,-0.03,66.69593721120066,0.0,0.0
2015-10-19,2.01,0.07,60.65847828777114,0.0,0.0
2015-10-20,2.02,0.01,68.30855206552827,0.0,0.0
2015-10-21,2.1,0.08,69.28371473715302,0.0,0.0
2015-10-22,2.14,0.04,76.02782133814075,0.0,0.0
2015-10-23,2.21,0.07,78.70017384178622,0.0,0.0
2015-10-26,2.15,-0.06,82.58330442302278,0.0,0.0
2015-10-27,2.15,0.0,70.0697261671239,0.0,0.0
2015-10-28,2.18,0.03,70.0697261671239,0.0,0.0
2015-10-29,2.13,-0.05,72.76481726373618,0.0,0.0
2015-10-30,2.12,-0.01,62.111696561105525,0.0,0.0
2015-11-02,2.19,0.07,60.10049590137783,0.0,0.0
2015-11-03,2.28,0.09,68.30965938883394,0.0,0.0
2015-11-04,2.2,-0.08,75.6662535976344,0.0,0.0
2015-11-05,2.2,0.0,61.22733481072595,0.0,0.0
